max_gray_scale,min_gray_scale,mean_gray_scale,std_gray_scale,mean_luminance,std_luminance,mean_red,std_red,mean_green,std_green,mean_blue,std_blue,ntu
255,0,153.5038716,73.08787306,51.545145,43.50177665,146.9990264,20.52854404,156.5832211,20.51261424,157.8271783,19.00314274,0
255,0,154.7538173,73.76979951,51.84033195,43.76663546,148.2260073,20.96355863,157.4857856,20.59842658,157.5389586,18.34535095,1
255,0,152.6025898,73.58657488,51.83200955,43.76833855,147.961901,20.62771814,157.4905107,20.47447817,157.9240343,18.3272673,0
255,0,155.5021016,71.8093868,52.34301785,44.20488605,149.4270759,20.03413693,159.0519575,19.95080467,159.3753072,17.68210528,0
255,0,155.7484091,72.90371069,52.15542841,43.99867585,149.2789848,20.65140348,158.3724158,20.22633015,158.7482169,17.954774,1
255,0,152.5301735,73.5795684,51.84795316,43.75611266,148.2504026,20.71394241,157.4780401,20.39780859,157.8605205,18.18521064,1
255,0,155.1039791,73.22543851,52.11313858,43.96871807,149.134357,20.64353638,158.2557632,20.38474284,158.5724322,18.15259308,1
255,0,152.8858296,73.08215924,51.89332911,43.82689722,148.2997984,20.54960415,157.679516,20.24642048,157.6047138,17.98590563,0
255,0,154.1050599,72.19586158,52.01205948,43.90564941,148.8287088,20.30265937,157.9900482,19.95100385,157.9046053,17.65426425,1
255,0,153.7562481,73.32592935,51.98668263,43.89397729,148.6101819,20.73421609,157.9392714,20.35833114,157.9966246,18.06798766,1
229,0,139.329762,15.87793984,46.7335569,38.88580014,138.3312444,5.042357698,140.6542667,3.683809525,141.2121409,5.276748172,3
202,0,141.8450337,13.77245592,47.170549,39.29823003,139.1426936,5.004969801,142.0879438,3.341980673,142.7785728,3.955519155,4
213,0,140.3392611,15.38295377,46.72306406,38.90708969,137.6241994,5.334721784,140.7193425,3.682384252,142.2134853,4.42211115,4
197,73,142.3561504,13.65874025,46.92687932,39.03523509,138.6787832,4.77817218,141.2296586,3.215087319,142.5218392,4.334858797,3
209,73,142.8548055,14.22710997,46.9529967,39.08948631,138.4552198,4.752372846,141.3858506,3.314657452,142.7181439,4.531682666,3
209,0,141.7393724,15.16791314,46.88693579,39.03791138,138.3808577,4.565178185,141.1855542,3.445786989,142.1762977,5.18506615,3
219,63,143.3123401,14.30591552,47.50674392,39.51972498,140.3857188,4.699571546,142.9790848,3.365573433,144.2602006,4.531894804,3
255,0,142.7915311,13.5969271,46.89772851,39.02701177,138.1720001,5.101152486,141.1972189,3.338768665,143.1242013,3.642932902,3
206,0,142.2580743,13.68024218,47.14508227,39.23994415,139.0437131,4.970377452,141.9458043,3.369064744,143.4198634,3.82469379,4
209,1,142.2219491,15.23065932,46.94253124,39.11321123,138.4014258,5.060876665,141.4143378,3.577140814,142.1595038,4.680723825,3
220,72,149.0495193,13.86470481,49.22999207,41.1424627,144.1933923,3.676695589,148.5873387,3.308332181,149.0969033,4.406584001,8
220,76,148.4933184,15.47624479,49.19086024,41.01442076,144.7532739,3.843584143,148.2550711,3.722059837,149.1136822,4.957345184,8
216,16,149.4955668,14.40500609,49.24107589,41.06724134,144.7148971,3.928948496,148.4377993,3.460878621,149.5031369,4.276103949,8
204,60,148.0270819,13.36935929,49.15196079,41.02317391,144.3711289,3.714209802,148.2289057,3.235901279,148.8818144,4.156543663,8
216,24,149.2392686,14.85085325,49.27495914,41.18059095,144.4160405,3.557694274,148.7184156,3.453468872,149.0113066,5.062524456,7
220,0,148.1154845,14.74084485,49.14328508,41.00843501,144.2718355,3.976925528,148.1937874,3.557694042,149.1615825,4.505950296,8
208,20,148.5038365,13.63696638,49.20431467,41.08826247,144.4241143,3.538332373,148.4317041,3.256034987,148.8922793,4.486254443,7
216,24,147.2045193,17.53518352,49.02953427,40.93101004,143.5992452,4.655906686,147.9033651,4.238642699,149.2924729,5.030192997,7
216,28,149.9673924,15.81406788,49.29987043,41.15720278,144.6120263,3.961344346,148.7061018,3.797199358,149.5912813,4.937301344,8
216,72,147.3331762,14.45121364,49.06396548,40.94068824,144.0036214,3.710852274,147.9539782,3.43236749,149.0310433,4.686957164,8
229,65,148.6806435,18.86813501,49.34694813,40.98494374,145.7537907,5.032797793,148.4034315,4.673805587,151.183577,5.463498312,15
253,0,149.1826188,16.9184686,49.39447489,41.07197641,145.5943275,4.452994259,148.6509914,4.093855285,151.1756453,5.336727386,14
233,57,149.7373868,17.83694746,49.44283819,41.06628724,146.0499093,4.871144978,148.6940717,4.394209666,151.4169496,5.332864679,14
239,0,149.7500744,18.1827733,49.98533803,41.49885961,148.003006,4.733154442,150.2710255,4.382322005,152.5863926,5.722058677,13
242,0,150.5708689,18.3990726,49.78662,41.35968328,147.1351571,4.812312492,149.7377689,4.465405621,152.1672199,5.629120099,13
254,0,150.6650692,18.43687633,49.72955196,41.30743424,146.6813337,4.994166412,149.5752464,4.564660582,152.7422171,5.296436006,14
255,0,149.5093201,17.87271675,49.68778644,41.28105028,146.7730163,4.615359599,149.4511808,4.295698041,151.9658109,5.679788088,15
255,0,150.1193593,18.3082057,49.69963874,41.29433745,146.5983843,4.903018847,149.5061635,4.497534073,152.4278615,5.456849223,15
238,0,148.9867031,17.95664217,49.67223865,41.2582281,146.923215,4.607572531,149.37422,4.326786754,151.6398658,5.713114654,14
255,0,148.7965381,18.32479661,49.58535606,41.21141848,146.1521016,4.97182392,149.1909315,4.578344032,152.1160269,5.183821053,15
227,75,153.5478432,18.09056431,51.18857446,42.51246686,150.9798349,5.30039869,153.9515222,4.591670183,157.3584741,4.715732753,19
224,88,154.93156,18.50301357,51.57673856,42.81163335,152.4081888,5.546668009,155.059306,4.750170356,158.3077432,4.862941213,19
223,83,153.4787935,18.68794195,51.17571219,42.4956584,150.9305107,5.589996617,153.9024855,4.720246605,157.4550192,4.843270457,20
234,0,155.2577273,18.01634448,51.07301567,42.40726455,150.6539712,5.413648416,153.5863716,4.559817514,157.1335148,4.690375404,18
235,15,154.8434961,18.04057393,51.32864532,42.6176172,151.6122204,5.442013314,154.338894,4.589720351,157.4792368,4.729992029,17
228,88,157.3645267,18.51638209,51.75875923,42.98347595,152.6952712,5.479881793,155.6596956,4.714875999,159.0782375,4.764550127,19
224,76,154.3656042,18.017391,51.53456466,42.78647308,152.2354354,5.35864146,154.9533081,4.600173633,158.1140512,4.790718586,19
224,84,154.2156809,19.00122682,51.48531482,42.73417734,151.9900701,5.560503569,154.7908801,4.836219548,158.3991428,4.946876498,18
240,72,156.0172035,18.64731871,51.68883313,42.89574494,152.9063262,5.632682558,155.3697049,4.762606423,158.4238431,4.859614177,18
220,80,154.3706734,18.90103287,51.51513775,42.75986003,152.147521,5.617327629,154.8778783,4.816026114,158.3129045,4.961285957,18
239,83,159.5511934,23.24608592,52.53372067,43.51278962,155.0153395,6.700350959,157.7818509,6.000223981,163.4254994,5.610684934,22
241,93,160.8472222,19.15859372,53.22204914,44.12552433,157.1680041,6.071880077,159.9185704,5.139352957,164.52172,4.538719464,20
233,81,160.385058,19.97780657,53.19805397,44.07363787,157.4144024,6.409447746,159.7688505,5.435903471,164.2822447,4.692414871,20
237,89,159.3680284,20.6323918,53.07785293,43.95923498,156.9820356,6.449696676,159.3859044,5.459753554,164.3542822,4.865281419,21
240,88,160.8579761,21.71654299,52.92680979,43.83661331,156.3837519,6.615457306,158.9462832,5.709141732,164.1947643,5.13107987,22
240,92,159.2800954,22.91159561,52.78581503,43.74554087,155.7176768,6.676704208,158.5848396,5.930060334,163.8779742,5.480483031,21
245,93,161.8227123,20.55754732,53.31276233,44.18054208,157.6467593,6.521777332,160.1414932,5.517341618,164.6729924,4.745420708,21
237,89,161.5774055,19.83913504,53.30303071,44.15472931,157.7914366,6.372898757,160.0693444,5.272069091,164.5573078,4.70840696,22
255,89,161.3590806,19.10812874,53.28282119,44.15264985,157.6090451,6.139054215,160.042811,5.099789181,164.5174818,4.553517163,22
249,89,162.4465937,19.76881508,53.37777915,44.22124874,158.0008698,6.257495856,160.3028615,5.223752466,164.733324,4.911296185,22
255,0,87.78034699,32.02060127,24.88526353,21.64005737,47.20098158,8.987730011,77.57903853,8.86002915,126.542016,8.141597525,35
255,0,87.0240362,36.50364761,24.82996089,21.59852473,46.89409512,11.30392275,77.42059858,10.84866946,126.7172568,9.249579934,35
255,0,87.34485737,30.7074076,24.80141035,21.54812745,46.93741068,8.345958505,77.28096006,8.359615927,126.786633,7.786721058,34
255,0,89.59388749,30.43904836,24.77256818,21.44522006,47.45386597,8.250204646,77.03533717,8.41629692,126.5005471,7.754722122,33
255,0,89.42504209,30.82796272,24.74161343,21.55737252,46.45112561,8.487766443,77.21651983,8.535519962,126.3722437,7.803949826,32
255,0,88.25323373,30.78267145,24.59183723,21.42818987,45.85715208,8.2491851,76.75305088,8.496588742,126.4889081,7.782132767,34
255,0,88.52187991,33.50149091,24.6529849,21.52416155,45.86629349,9.553236762,77.02816779,9.489648734,126.2774944,8.382645192,35
255,0,88.76759727,36.37847702,24.74766125,21.51536506,46.83341517,11.29728321,77.140802,10.7579243,126.2478961,9.311973038,32
255,0,87.20422652,32.70483324,24.55932927,21.39461019,45.97873363,9.317139352,76.64050458,9.262791701,125.8950159,8.228931176,31
255,0,86.83316031,35.13685827,24.83853523,21.39930076,48.33992144,10.45885511,77.03389824,10.21474352,126.6467363,8.743543578,30
214,0,87.40593996,24.13488776,25.16815604,21.97013242,51.77932052,4.843071488,78.57824214,5.800227811,114.917255,7.288866399,53
255,0,85.4636359,25.43229321,25.20209133,22.02525181,51.47710017,5.321339304,78.73939441,6.143898918,115.620881,7.56125884,53
225,0,86.79904648,24.63916356,24.86406226,21.68714347,51.0800159,5.068253598,77.59630612,5.973586275,114.0678292,7.320212526,53
242,0,86.87592218,24.07224418,25.10076627,21.90623709,51.54731809,4.987034542,78.3596474,5.803378435,114.9656393,7.18332885,52
255,0,85.61098532,23.93612324,25.01113048,21.83780051,51.30402965,4.904379827,78.09964646,5.800414126,114.5330691,7.131293222,53
255,0,87.01007202,24.14152984,25.09041423,21.88863748,51.48203189,5.119679888,78.31156799,5.841290254,115.2040067,7.155675101,51
255,0,86.38911008,23.42441374,25.05013395,21.79379071,51.80778339,4.953473297,78.06414516,5.593710365,115.0220291,7.1420062,53
255,0,87.54157548,23.48877746,25.13862479,21.92314599,51.6762037,4.928107231,78.44593996,5.688310014,115.3043935,7.007715429,53
255,0,87.39635709,24.16284081,25.13550838,21.95874623,51.44048167,5.067829887,78.51374532,5.865171411,115.1973419,7.13361124,53
255,0,87.21060185,24.17865104,25.11341785,21.9143513,51.52268612,5.12732129,78.3943425,5.858095908,115.2201763,7.219255687,53
255,0,77.76122896,29.76045769,22.41017256,19.33334689,47.05416386,6.773928176,69.51036289,7.928888975,104.0580457,9.172711915,67
255,0,79.2421301,31.06563167,22.82316331,19.69796931,48.20873083,8.531075076,70.80218621,9.187353628,105.0220244,9.449446282,67
255,0,80.14305228,30.31556858,23.07590932,19.89389932,48.7295693,7.939717517,71.54387065,8.682210128,106.6432856,9.582778957,68
255,0,77.25721427,26.6121346,22.3778405,19.27460324,47.29266929,4.947903336,69.3453526,6.48007105,103.6468673,8.169211585,68
255,0,76.61711046,29.06022082,22.34348918,19.27614553,47.01603442,6.330687476,69.3023541,7.563474254,103.4600412,9.008058744,68
255,0,77.10541199,29.14038924,22.3753339,19.26542907,47.29995838,6.424621434,69.32388842,7.592273098,103.7338721,9.008693731,69
255,0,77.45861205,29.35804909,22.41451704,19.36247342,47.04979938,6.46785368,69.57283857,7.703820116,103.6325435,9.095560225,69
255,0,77.55215488,29.93797781,22.4349792,19.38442838,47.06848578,7.487499255,69.64500187,8.355900112,103.7129111,9.325320382,67
255,0,76.00575617,30.25051663,22.5562971,19.45292677,47.59620838,7.815635524,69.94695286,8.623041766,104.2088187,9.434985868,69
255,0,76.04934764,31.30598479,22.60555158,19.49692784,47.78978816,9.341822118,70.1009755,9.674304153,104.1596689,10.10613489,68
183,0,74.1935274,21.35156326,21.81420072,18.88862248,45.91353535,4.147251344,67.79313505,5.267110486,99.66391087,6.511738734,78
255,0,73.96114057,21.07422056,21.07368279,18.28190892,43.84004863,4.115101248,65.56723017,5.206517086,97.04945988,6.516929013,78
207,0,70.2879653,21.66679861,20.59303315,17.82969307,43.09955995,4.186184298,63.99950664,5.276966555,94.78789282,6.739849879,77
199,0,73.33288908,21.104929,21.73679851,18.80950422,45.75653432,4.154049708,67.52926534,5.184087992,99.52390245,6.538078493,79
193,0,71.4131416,20.94595556,21.12339167,18.29793311,44.18626964,4.044261421,65.66556491,5.15271671,97.12135802,6.471792956,76
213,0,71.93561682,20.97367227,21.16596056,18.34705068,44.22505004,3.989656259,65.8223078,5.147749938,97.22328938,6.49067878,76
180,0,73.9143584,20.42649881,21.08700861,18.29382866,43.94287131,3.982532999,65.60807847,5.052071238,96.89575711,6.265539601,76
225,0,72.44741208,21.11986557,21.18422203,18.34622371,44.2661691,4.030804096,65.84704078,5.191038553,97.61599701,6.529491185,76
193,0,71.20838664,21.05505927,21.10160246,18.28394945,44.07856528,4.078061642,65.60832351,5.154157499,97.10015806,6.546044445,76
204,0,73.8814927,20.89074263,21.05063576,18.22395088,43.92348625,4.043964343,65.42026796,5.139626563,97.30191779,6.495502003,76
164,0,85.85228582,23.13697721,24.92753217,21.50170683,54.41397119,5.020571682,77.27028713,5.85008517,110.1174083,6.585349205,85
240,0,89.78840441,21.33154491,26.18253776,22.58268567,57.5934596,4.822061226,81.1473714,5.341884652,114.4964506,6.204347939,85
169,5,88.60956603,22.09451056,26.36476389,22.77235402,57.98682753,5.08469214,81.77416246,5.517356175,114.7009853,6.338141786,83
255,0,87.30963711,21.82707221,25.99184326,22.40362483,57.21690095,5.022957573,80.52757435,5.494236602,113.8212668,6.22497206,87
255,0,87.44417602,21.70108623,26.03415522,22.43648695,57.47586373,4.92533136,80.64782828,5.45999913,113.6256266,6.248956803,82
216,0,87.36195286,21.91817599,26.06183705,22.51588285,57.33277731,5.004891874,80.84415217,5.518194677,113.2524247,6.288939599,82
255,0,87.00282875,21.18751083,25.9059457,22.39208798,56.35200711,4.791811518,80.39617284,5.312778937,114.1005205,6.060518532,82
255,0,87.3491344,21.46495579,25.988449,22.4468231,56.87478535,4.881829138,80.61274785,5.394093884,113.8439109,6.136202903,82
255,0,87.56809905,21.46310038,26.01697081,22.48385624,56.9343771,4.786966795,80.72489759,5.368638408,113.7426192,6.23255369,86
255,0,88.75119014,21.56678233,26.17184291,22.55927588,57.94565844,4.898160844,81.07816826,5.446469457,113.7004962,6.25696309,87
154,0,41.77337914,26.62909037,13.78657519,11.89290023,37.32262817,6.53110732,42.46113207,6.624105074,42.33702437,6.959258797,22
187,0,42.20292105,28.12308396,14.05659669,12.13697216,37.97369444,6.992017554,43.3173538,7.049510512,43.15804971,7.437837372,22
194,0,42.10311598,27.01383893,13.82785502,11.94141839,37.42600097,6.67894956,42.61229142,6.740266305,42.25050439,7.01825533,21
162,0,40.61002827,27.51376122,13.6975817,11.83773251,37.0335809,6.829376904,42.22905458,6.932714553,41.78927924,7.232942681,22
162,0,42.92943665,27.76180555,13.87485663,11.98727085,37.41054776,6.767502343,42.77429825,6.934817602,42.64417349,7.200314495,21
166,0,42.36914035,27.69706891,13.8311666,11.96302291,37.23774464,6.87691975,42.66717251,6.91923448,42.39880214,7.250384928,20
158,0,41.46760916,28.16596768,13.73029414,11.89130888,36.80504288,6.980420648,42.39282749,7.140312581,42.19917008,7.436622105,20
162,0,43.61834016,27.42802196,13.9372377,12.01625398,37.76779094,6.77771665,42.91109357,6.795060637,42.82917788,7.134562365,22
158,0,43.63296394,27.53691557,13.94480497,12.04758551,37.66416862,6.82984292,42.98629191,6.865835391,42.70383236,7.176857988,22
154,0,40.8208655,26.91084364,13.71280616,11.87296354,36.8793923,6.635372757,42.32664181,6.738445063,41.90921686,7.108767864,22
183,0,42.78684357,25.06601884,14.02810599,12.06896319,37.74491326,5.958569104,43.15814912,6.39601016,44.22494688,6.731740936,40
184,0,45.59965107,24.87233715,14.51162534,12.55290183,38.62353558,5.703957381,44.79180799,6.368886906,45.54586257,6.786216102,40
138,0,42.06180019,25.39625802,13.70485443,11.83092477,36.54909503,5.873924356,42.25376316,6.472569273,43.27332797,6.986332306,39
151,0,43.42317057,25.08404403,14.09102699,12.09467077,38.15455214,6.201494671,43.28719542,6.24167678,44.3548616,6.877863618,42
159,0,44.32898051,26.47556168,14.15705839,12.15427491,38.32903411,6.588213877,43.49561988,6.665546274,44.52015497,7.120161311,40
142,0,43.36758967,24.16058033,13.82309071,11.93828839,36.80992446,5.554447619,42.63077096,6.144122719,43.68358431,6.561855075,41
166,0,43.18383723,24.73773241,13.79329244,11.91172596,36.66678216,5.660599477,42.54058918,6.293238248,43.76025,6.714890494,41
183,0,42.67204288,24.54675127,14.02067216,12.02882828,37.96321345,6.080305789,43.06114035,6.126750032,44.23420663,6.826548128,40
145,0,44.59307846,24.82494378,14.61510561,12.57476657,39.08397222,5.70769528,44.97788207,6.369062581,46.64657992,6.892372094,42
153,0,43.92603021,25.6773226,14.58197293,12.58025496,38.85336355,5.887397888,44.94541326,6.607583202,46.27055604,6.949895431,40
166,0,42.72394055,27.08819726,13.793425,11.93674164,36.77603314,6.105186069,42.58107066,6.57367399,43.04305556,8.251972062,59
206,0,41.13327193,27.45443109,13.64624406,11.82125404,36.26539815,6.214916344,42.1545078,6.732112003,42.65657261,8.320828959,61
162,0,43.6054386,26.4759974,13.86112476,12.0395104,36.59841082,5.869987307,42.88917105,6.471273611,43.32710526,7.978431464,65
195,0,41.87989571,27.33423424,13.92382644,12.04473466,36.9877578,6.190317278,42.98165595,6.718418702,43.86982943,8.259066969,63
162,0,43.50833626,26.458383,13.85579928,12.03661131,36.58519347,5.878421518,42.87581579,6.46519421,43.27703947,7.975757012,62
178,0,43.46341326,26.84237842,13.87026786,12.050173,36.68530994,5.988339009,42.91928996,6.506124197,43.15277729,8.084168868,59
171,0,43.54255312,27.59543896,14.07573384,12.2032007,37.22862232,6.182871341,43.50837963,6.805778129,44.25489327,8.174678591,58
167,0,41.72358626,28.18765724,13.90507851,12.03276311,36.93092641,6.387167194,42.9319191,6.983367073,43.75085916,8.545273051,61
203,0,43.21135965,27.53559908,14.07269918,12.23026327,37.12883187,6.118954853,43.55804483,6.744194037,43.93066764,8.324194231,59
167,0,43.90280994,27.67905908,14.05086436,12.09604397,37.48541813,6.178026982,43.2583538,6.874765557,44.94208528,8.184789545,59
174,0,45.82135478,27.60485938,14.91741196,12.74074372,40.30580702,6.275759827,45.71468811,6.902022237,48.31130702,7.979040113,70
194,0,46.68553411,28.27946968,15.06972252,13.0182782,40.11586842,6.359344435,46.48223002,6.926809305,47.59616374,8.251810074,71
174,0,46.59714035,28.37115783,15.03020811,12.92479132,40.30420663,6.400230582,46.2366691,6.948050403,47.83219201,8.362279221,71
162,0,47.08378265,28.53504958,15.0717611,12.96840516,40.3613694,6.430986746,46.38170858,7.009693186,47.95371442,8.411143689,72
206,0,44.89262671,28.41453276,14.90833124,12.85883068,39.78811988,6.355460929,45.94255507,6.959398597,47.20116423,8.394661252,69
162,0,47.03625439,27.9509924,15.0801881,12.99432622,40.29221784,6.325312947,46.44651901,6.837117011,47.86549025,8.264381741,72
162,0,44.63297758,27.60284678,14.88261408,12.84097126,39.64496491,6.216272881,45.87501121,6.791786127,47.22319493,8.117953643,71
166,0,45.57591228,28.30684261,14.93730035,12.87409713,39.81372076,6.405509427,46.01665205,6.991400629,47.59549123,8.319818242,71
179,0,45.82574903,28.45892253,15.21258385,13.1276104,40.49668908,6.461187146,46.8970575,7.054583162,48.30166082,8.455528531,72
194,0,46.46682846,28.74812324,15.02136232,12.92531859,40.27621101,6.604471163,46.22456676,7.08503991,47.6669576,8.509170057,70
165,0,48.79874366,29.96508169,15.83640091,13.71068563,41.38336891,6.311474089,48.94059064,7.581163995,51.36825585,8.912190176,79
160,0,48.0500039,29.49541416,15.53282508,13.47321149,40.44133431,6.43500409,48.05619444,7.527042707,50.28888207,8.732858586,78
166,0,48.81458577,30.33691997,16.06704851,13.93996191,41.78907651,6.426166058,49.71725585,7.712980356,52.06380166,9.11115515,78
168,0,47.14368226,30.5995064,15.49134387,13.31020359,41.34007992,6.529448483,47.64507846,7.805195076,49.99128119,9.074491244,79
132,0,48.04378558,28.51219173,15.55717602,13.52499212,40.32082164,5.952106069,48.19671248,7.13124492,50.26360965,8.389647832,76
160,0,47.48360234,29.19299043,15.46513529,13.33795073,40.60435429,6.359919732,47.68969981,7.489279755,50.62668762,8.488548125,77
172,0,49.2032729,28.72982899,15.64101087,13.54937364,40.83949269,6.216544303,48.35279727,7.278849703,50.67362671,8.442537044,80
160,0,48.72272125,28.67110393,15.58446601,13.48444168,40.76599513,6.184397302,48.14509844,7.350674542,50.59796491,8.423052835,80
176,0,47.98072515,28.89103578,15.51672145,13.40394134,40.68505799,6.253096943,47.89093519,7.412826399,50.53911598,8.491358247,81
208,0,47.21636452,30.19158302,15.44461568,13.2285158,41.30329483,6.764261741,47.4207963,7.790235783,50.37968226,8.878968144,80
